Secretary of State	Candidates					
Summary of General Election Results November 7, 2006	Ralph "Marty" Scully Green Party	Jim Lagrone Republican	Secretary of State Charlie Daniels Democrat	Grand Totals	Registered Voters	Voter Turnout
Arkansas County	109	1,353	4,149	5,611	11,733	47.82%
Ashley County	105	1,531	3,890	5,526	12,666	43.63%
Baxter County	568	5,787	6,882	13,237	27,610	47.94%
Benton County	1,303	25,964	20,416	47,683	95,215	50.08%
Boone County	366	4,579	5,383	10,328	22,068	46.80%
Bradley County	58	687	2,015	2,760	6,169	44.74%
Calhoun County	32	486	1,214	1,732	3,756	46.11%
Carroll County	433	3,210	4,459	8,102	14,176	57.15%
Chicot County	62	657	2,730	3,449	7,772	44.38%
Clark County	199	1,641	4,535	6,375	12,371	51.53%
Clay County	106	896	3,293	4,295	10,604	40.50%
Cleburne County	296	3,609	5,643	9,548	17,155	55.66%
Cleveland County	87	682	1,748	2,517	5,323	47.29%
Columbia County	178	2,069	3,562	5,809	16,752	34.68%
Conway County	232	1,650	4,729	6,611	13,375	49.43%
Craighead County	453	6,907	13,128	20,488	50,621	40.47%
Crawford County	385	6,667	8,661	15,713	27,384	57.38%
Crittenden County	314	4,498	11,017	15,829	29,350	53.93%
Cross County	127	1,426	3,717	5,270	11,309	46.60%
Dallas County	44	651	2,097	2,792	5,352	52.17%
Desha County	56	556	2,628	3,240	9,563	33.88%
Drew County	92	1,098	2,947	4,137	10,280	40.24%
Faulkner County	840	9,857	13,745	24,442	58,925	41.48%
Franklin County	149	1,761	3,581	5,491	10,259	53.52%
Fulton County	102	934	2,261	3,297	7,149	46.12%
Garland County	1,025	10,938	17,121	29,084	68,802	42.27%
Grant County	128	1,697	3,319	5,144	9,898	51.97%
Greene County	325	2,571	6,233	9,129	20,480	44.58%
Hempstead County	100	1,330	3,436	4,866	10,204	47.69%
Hot Spring County	254	2,225	6,096	8,575	18,415	46.57%
Howard County	56	911	2,254	3,221	7,223	44.59%
Independence County	303	2,877	6,684	9,864	20,518	48.07%
Izard County	163	1,213	2,714	4,090	7,296	56.06%
Jackson County	106	849	3,517	4,472	9,561	46.77%
Jefferson County	364	4,003	15,487	19,854	48,529	40.91%
Johnson County	177	1,936	3,977	6,090	13,339	45.66%
Lafayette County	44	675	1,780	2,499	4,229	59.09%
Lawrence County	149	1,028	3,606	4,783	10,070	47.50%
Lee County	66	489	2,325	2,880	6,114	47.11%
Lincoln County	38	533	2,207	2,778	6,570	42.28%
Little River County	81	886	2,758	3,725	7,848	47.46%
Logan County	191	1,950	4,334	6,475	13,050	49.62%
Lonoke County	379	6,685	8,835	15,899	31,591	50.33%
Madison County	168	2,023	3,127	5,318	8,368	63.55%
Marion County	267	2,352	3,239	5,858	10,377	56.45%
Miller County	165	3,884	5,582	9,631	23,129	41.64%
Mississippi County	348	2,310	7,355	10,013	23,020	43.50%
Monroe County	41	518	2,177	2,736	5,677	48.19%
Montgomery County	93	925	1,834	2,852	5,126	55.64%
Nevada County	51	582	1,964	2,597	5,802	44.76%
Newton County	156	1,301	1,982	3,439	5,638	61.00%
Ouachita County	160	1,828	5,448	7,436	19,935	37.30%
Perry County	144	1,017	2,416	3,577	6,405	55.85%
Phillips County	257	1,076	5,450	6,783	18,803	36.07%
Pike County	59	892	2,189	3,140	5,649	55.59%
Poinsett County	125	1,595	4,488	6,208	13,231	46.92%
Polk County	278	2,173	3,078	5,529	11,548	47.88%
Pope County	437	6,632	8,272	15,341	30,326	50.59%
Prairie County	71	610	2,144	2,825	4,771	59.21%
Pulaski County	3,601	36,826	67,879	108,306	237,039	45.69%
Randolph County	103	1,183	3,278	4,564	10,260	44.48%
Saline County	928	14,676	16,163	31,767	57,430	55.31%
Scott County	82	793	1,879	2,754	6,056	45.48%
Searcy County	136	1,180	1,688	3,004	6,403	46.92%
Sebastian County	862	13,768	16,651	31,281	61,685	50.71%
Sevier County	75	817	2,089	2,981	6,498	45.88%
Sharp County	183	1,749	3,575	5,507	10,436	52.77%
St. Francis County	196	1,465	5,174	6,835	18,959	36.05%
Stone County	231	1,395	2,724	4,350	7,741	56.19%
Union County	223	3,993	7,068	11,284	29,624	38.09%
Van Buren County	323	1,785	3,332	5,440	9,981	54.50%
Washington County	1,636	18,832	24,077	44,545	87,215	51.07%
White County	516	8,130	11,898	20,544	43,136	47.63%
Woodruff County	60	293	2,111	2,464	4,746	51.92%
Yell County	153	1,211	3,104	4,468	9,583	46.62%
Totals	22,773	269,766	468,548	761,087	1,615,271	47.12%
Statewide Percentage of Votes Received	2.99%	35.44%	61.56%			
