"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"01- ALLPORT CITY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",27,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"02 - CAROLINE TWP.","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",958,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"03 - AUSTIN CITY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1262,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"04 - BUTLER TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1195,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"05 - CABOT CITY W/1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2000,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"06 - CABOT CITY W/2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",3381,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"07 - CABOT CITY W/3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2631,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"08 - CABOT CITY W/4","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1982,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"09 - YORK TWP","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",662,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",82,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"1-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",704,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"1-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",726,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"1-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",400,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"10","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",24,"JEFFERSON","05069","JEFFERSON","05069","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"10 - CARLISLE CITY WARD 1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",378,"LONOKE","05085","LONOKE","05085","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"10-1","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",355,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"10-2","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",706,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
"10-3","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",321,"BAXTER","05005","BAXTER","05005","RICK CRAWFORD","001",1,"HOUSE",2020,"GEN","ARKANSAS","FALSE","FALSE","AR","05","71","42","2020-11-03","FALSE"
