"Contest ID","Contest Name","Location ID","Total Precincts","Precincts Reporting","Precincts Partially Reporting","Total Votes","Candidate ID","Candidate Name","Candidate Votes","Candidate Vote Percentage"
"110","Bull Shoals City Recorder City of Bull Shoals","12","2","2","0","966","237","Paula J. Reynolds","490","50.72"
"110","Bull Shoals City Recorder City of Bull Shoals","12","2","2","0","966","238","Tina Bailey","476","49.28"
"140","McCrory Alderman Ward 3, Position 1","54","2","2","0","535","297","IND Dawn Odom","303","56.64"
"140","McCrory Alderman Ward 3, Position 1","54","2","2","0","535","298","IND Pam Reynolds","232","43.36"
"170","City of Humnoke, 0.5% Sales & Use Tax","4","1","1","0","108","359","For","60","55.56"
"170","City of Humnoke, 0.5% Sales & Use Tax","4","1","1","0","108","358","Against","48","44.44"
"190","City of Redfield, Treasurer/Recorder","13","3","3","0","577","397","Dane Fults","363","62.91"
"190","City of Redfield, Treasurer/Recorder","13","3","3","0","577","398","Tricia Clark","214","37.09"
"210","POSITION WARD 5-2, CITY OF WEST MEMPHIS City of W","10","2","2","0","678","440","Willis Mondy","403","59.44"
"210","POSITION WARD 5-2, CITY OF WEST MEMPHIS City of W","10","2","2","0","678","439","Al Felton","275","40.56"
"270","Mayor of Nimmons nimmons","11","1","1","0","23","586","IND Terry Vandiver","23","100.00"
"280","City of Helena-West Helena, Ald. Ward 3 Pos. 1","56","1","1","0","678","604","Monica Cartwright Davis","455","67.11"
"280","City of Helena-West Helena, Ald. Ward 3 Pos. 1","56","1","1","0","678","603","Graceylyn 'Grace' Brown","223","32.89"
"380","Calion Alderman Ward 2 Position 2 Calion","36","1","1","0","51","823","IND Chanel Hicks","29","56.86"
"380","Calion Alderman Ward 2 Position 2 Calion","36","1","1","0","51","824","IND Mike Amason","22","43.14"
"390","City of Horseshoe Bend Recorder/Treasurer City of","29","1","1","0","6","857","IND William T. Vander Pas","4","66.67"
"390","City of Horseshoe Bend Recorder/Treasurer City of","29","1","1","0","6","856","IND Amberly Martin","2","33.33"
"440","City of Carlisle, 3% Gross Receipts Tax","4","3","3","0","823","959","Against","488","59.30"
"440","City of Carlisle, 3% Gross Receipts Tax","4","3","3","0","823","960","For","335","40.70"
"450","POSITION 4, CITY OF ANTHONYVILLE City of Anthonyv","10","1","1","0","46","980","Roy L Eason","41","89.13"
"450","POSITION 4, CITY OF ANTHONYVILLE City of Anthonyv","10","1","1","0","46","979","K. C. McKenney","5","10.87"
"510","Camden Alderman Ward 1 Position 1","3","1","1","0","1056","1126","IND Edward Winters","529","50.09"
"510","Camden Alderman Ward 1 Position 1","3","1","1","0","1056","1127","IND Robert Arnold","527","49.91"
